Company Name,Year,Advertising,Cash Flow from Operations,Current Assets,Current Liabilities,Earnings Before Tax,EBITDA,Inventories,Long Term Debt,Net Income,Net Property Plant & Equip,Operating Income,Research & Development,Selling General & Admin,Stockholders Equity,Total Assets,Total Liabilities,Total Revenue
Edison International,2019,-,-307000000,3560000000,5523000000,1127000000,3631000000,364000000,17864000000,1284000000,44285000000,1775000000,-,0,13303000000,64382000000,51079000000,12347000000
Edwards Lifesciences Corp,2019,-,1179400000,2984000000,902400000,1166500000,1239700000,640900000,594400000,1046900000,1060300000,1146800000,752700000,1242200000,4148300000,6488100000,2339800000,4348000000
"Electronic Arts, Inc.",2019,271000000,1547000000,6381000000,2265000000,1079000000,1180000000,-,994000000,1019000000,448000000,996000000,1433000000,1162000000,5331000000,8957000000,3626000000,4950000000
Emerson Electric Co.,2019,-,3006000000,7139000000,5976000000,2859000000,3734000000,1880000000,4277000000,2306000000,3642000000,3033000000,454000000,4457000000,8233000000,20497000000,12264000000,18372000000
Enphase Energy Inc.,2019,-,139067000,499657000,199311000,90114000,104592000,32056000,102659000,161148000,28936000,102729000,40381000,75536000,272212000,713223000,441011000,624333000
Entergy Corp,2019,-,2816627000,3045992000,5620463000,1088419000,3465245000,970465000,17078643000,1258244000,35182693000,1390497000,-,0,10478085000,51723912000,41245827000,10878673000
"EOG Resources, Inc.",2019,-,8163180000,5273339000,4486988000,3545267000,7480100000,767297000,4160919000,2734910000,30364595000,3699011000,-,5840921000,21640716000,37124608000,15483892000,17379973000
Equifax Inc,2019,51900000,313800000,1209400000,1359100000,-433000000,16000000,-,3379500000,-398800000,947600000,-335400000,-,1990200000,2578600000,7909000000,5330400000,3507600000
Equinix Inc,2019,-,1992728000,2872616000,2157863000,692597000,2429421000,-,11029989000,507450000,12152597000,1125321000,-,1586064000,8840606000,23965615000,15125009000,5562140000
Equity Residential,2019,-,1456984000,116999000,449590000,939438000,2169450000,-,9036956000,970377000,-,908907000,-,52757000,10315506000,21172769000,10857263000,2701075000
Essex Property Trust Inc,2019,-,919079000,359652000,342313000,353769000,985758000,-,5808873000,439286000,-,484276000,-,87161000,6220427000,12705405000,6484978000,1460155000
Etsy Inc,2019,175200000,206920000,921038000,188528000,80646000,130167000,-,838737000,95894000,144864000,88761000,121878000,336704000,406634000,1542352000,1135718000,818379000
Everest Re Group Ltd,2019,-,1852002000,-,-,1098987000,-,-,-,1009461000,-,-,-,-,9132925000,27324051000,18191126000,8231169000
Evergy Inc,2019,-,1749000000,1467700000,2335900000,772800000,1933100000,481600000,8765500000,669900000,19346400000,1185800000,-,0,8571900000,25975900000,17404000000,5147800000
Eversource Energy,2019,-,2009577000,2414539000,3605563000,1190071000,2608546000,235471000,14310922000,909053000,27585470000,1590491000,-,501369000,12629994000,41123915000,28493893000,8526470000
Exelon Corp,2019,-,6659000000,12037000000,14185000000,3985000000,12062000000,1768000000,31719000000,2936000000,80233000000,4342000000,-,0,32224000000,124977000000.00,92753000000,34438000000
Expedia Group Inc,2019,3500000000,2767000000,7735000000,10714000000,767000000,1791000000,-,4189000000,565000000,2198000000,903000000,-,6982000000,3967000000,21416000000,17449000000,12067000000
"Expeditors International of Washington, Inc.",2019,-,771935000,2769923000,1168318000,795794000,823941000,-,-,590395000,499344000,766692000,-,1632499000,2195028000,3691884000,1496856000,8175426000
Extra Space Storage Inc,2019,25106000,707686000,70733000,269382000,451157000,847160000,-,4888486000,419967000,-,633753000,-,89418000,2539961000,8532377000,5992416000,1308454000
Exxon Mobil Corp,2019,-,29716000000,50052000000,63989000000,20056000000,39884000000,18528000000,26342000000,14340000000,253018000000.00,20886000000,1214000000,43158000000,191650000000.00,362597000000.00,170947000000.00,264938000000.00
"F5 Networks, Inc.",2019,4700000,747841000,1511586000,1105526000,541111000,609618000,34401000,-,427734000,223426000,518463000,408058000,959349000,1761497000,3390275000,1628778000,2242447000
Facebook Inc,2019,1570000000,36314000000,66225000000,15053000000,24812000000,29088000000,-,-,18485000000,35323000000,23986000000,13600000000,20341000000,101054000000.00,133376000000.00,32322000000,70697000000
Fastenal Co.,2019,-,842700000,2457200000,544700000,1043700000,1205900000,1366400000,342000000,790900000,1023200000,1056000000,-,1459400000,2665600000,3799900000,1134300000,5333700000
Federal Realty Investment Trust (MD),2019,-,461919000,310433000,358880000,362554000,710669000,-,3356594000,353866000,-,354518000,-,42754000,2535341000,6794992000,4259651000,935788000
FedEx Corp,2019,468000000,5613000000,13086000000,9013000000,655000000,4537000000,553000000,16617000000,540000000,30429000000,4466000000,-,24776000000,17757000000,54403000000,36646000000,69693000000
Fidelity National Information Services Inc,2019,-,2410000000,8692000000,10382000000,413000000,951000000,-,17229000000,298000000,900000000,969000000,-,2667000000,49440000000,83806000000,34366000000,10333000000
"Fifth Third Bancorp (Cincinnati, OH)",2019,-,1824000000,-,-,3202000000,-,-,-,2512000000,1995000000,-,-,-,21203000000,169369000000.00,148166000000.00,9790000000
"First Republic Bank (San Francisco, CA)",2019,-,938511000,-,-,1133236000,-,-,-,930329000,386841000,-,-,-,9851107000,116263634000.00,106412527000.00,4156699000
FirstEnergy Corp,2019,-,2467000000,2444000000,4862000000,1117000000,3299000000,281000000,19618000000,912000000,31650000000,2510000000,-,0,6975000000,42301000000,35326000000,11035000000
Fiserv Inc,2019,-,5590000000,17046000000,15727000000,1083000000,2839000000,-,21612000000,893000000,1606000000,1594000000,-,3284000000,32979000000,77539000000,44560000000,10187000000
FleetCor Technologies Inc,2019,33700000,1162071000,4618571000,4463068000,1081289000,1294137000,-,3289947000,895073000,199825000,1231430000,-,1142685000,3711616000,12248541000,8536925000,2648848000
FMC Corp.,2019,-,488500000,4074800000,2723900000,655000000,883200000,1017000000,3031100000,477400000,758000000,821600000,298100000,792900000,2532300000,9872700000,7340400000,4609800000
Ford Motor Co. (DE),2019,3600000000,17639000000,114047000000.00,98132000000,-672000000,6426000000,10786000000,101361000000.00,47000000,36469000000,574000000,7400000000,11161000000,33185000000,258537000000.00,225352000000.00,155900000000.00
Fortinet Inc,2019,-,808000000,2769000000,1473600000,379200000,387400000,117900000,-,326500000,344300000,344200000,277100000,1029000000,1321900000,3885500000,2563600000,2156200000
Fortive Corp,2019,-,1271400000,3688800000,3467200000,874500000,1172000000,640300000,4828400000,738900000,519500000,1004100000,456700000,2219500000,7387000000,17439000000,10052000000,7320000000
"Fortune Brands Home & Security, Inc.",2019,251700000,637200000,1898200000,1409300000,575300000,822200000,718600000,1784600000,431900000,824200000,698500000,48200000,1256300000,2426600000,6291300000,3864700000,5764600000
Fox Corp,2019,388000000,2524000000,6478000000,1712000000,2224000000,2583000000,1129000000,6751000000,1595000000,1313000000,2431000000,-,1419000000,9947000000,19509000000,9562000000,11389000000
Franklin Resources Inc,2019,-,201600000,6796600000,2022900000,1658200000,1735100000,-,747700000,1195700000,683700000,1557400000,-,2139000000,9906500000,14532200000,4625700000,5774500000
Freeport-McMoRan Inc,2019,-,1482000000,7915000000,3209000000,306000000,2338000000,4073000000,9821000000,-239000000,29584000000,674000000,104000000,414000000,9298000000,40809000000,31511000000,14402000000
Gallagher (Arthur J.) & Co.,2019,-,1119200000,9117500000,8921000000,626100000,766500000,-,3816100000,668800000,467400000,626100000,-,3339500000,5155500000,19634800000,14479300000,7195000000
Garmin Ltd,2019,164456000,698549000,3057850000,1035933000,987222000,1006326000,752908000,-,952486000,728921000,945586000,605366000,683024000,4793496000,6166799000,1373303000,3757505000
Gartner Inc,2019,-,565436000,2018741000,2856534000,275739000,587357000,-,2043888000,233290000,344579000,370087000,-,2103424000,938593000,7151294000,6212701000,4245321000
Generac Holdings Inc,2019,44153000,308887000,1195829000,497064000,319607000,422060000,522024000,837767000,252007000,316976000,372163000,68394000,328551000,1032382000,2665669000,1633287000,2204336000
General Dynamics Corp,2019,-,2981000000,19780000000,16801000000,4202000000,5128000000,6306000000,9010000000,3484000000,4475000000,4648000000,466000000,2411000000,13577000000,48841000000,35264000000,39350000000
General Electric Co,2019,-,8772000000,115788000000.00,75915000000,1149000000,10971000000,14104000000,67155000000,-4979000000,43290000000,3155000000,4164000000,13949000000,28316000000,266048000000.00,237732000000.00,95214000000
General Mills Inc,2019,-,2807000000,4186500000,7087100000,2082000000,3223900000,1559300000,11624800000,1752700000,3787200000,2545900000,221900000,2935800000,7054500000,30111200000,23056700000,16865200000
General Motors Co,2019,3700000000,15021000000,74992000000,84905000000,6168000000,19322000000,10398000000,65924000000,6732000000,38750000000,5481000000,6800000000,8491000000,41792000000,228037000000.00,186245000000.00,137237000000.00
Genuine Parts Co.,2019,203700000,892010000,7938616000,6394120000,830300000,1196299000,3831183000,2802056000,621085000,1214783000,902757000,-,4934167000,3674707000,14645629000,10970922000,19392305000
Gilead Sciences Inc,2019,784000000,9144000000,30296000000,9759000000,5160000000,6410000000,922000000,22094000000,5386000000,4502000000,4287000000,9106000000,4381000000,22525000000,61627000000,39102000000,22449000000
Global Payments Inc,2019,-,1391278000,4366448000,3579346000,517925000,1458552000,-,9090364000,430613000,1382802000,791417000,-,2046672000,27855747000,44480162000,16624415000,4911892000
Globe Life Inc,2019,-,1363874000,-,-,931279000,-,-,-,760790000,-,-,-,-,7294307000,25977460000,18683153000,4527532000
Goldman Sachs Group Inc,2019,-,23868000000,-,-,10583000000,-,-,-,8466000000,21886000000,-,-,-,90265000000,992968000000.00,902703000000.00,53922000000
Grainger (W.W.) Inc.,2019,316000000,1042000000,3555000000,1678000000,1209000000,1438000000,1655000000,1914000000,849000000,1400000000,1262000000,-,3135000000,1855000000,6005000000,4150000000,11486000000
Halliburton Company,2019,-,2445000000,11212000000,4878000000,-1122000000,1072000000,3139000000,10316000000,-1131000000,7310000000,-448000000,404000000,227000000,8012000000,25377000000,17365000000,22408000000
HanesBrands Inc,2019,163769000,803432000,3224565000,1771439000,679727000,979204000,1905845000,3256870000,600720000,587896000,889730000,51520000,1829600000,1236595000,7353986000,6117391000,6966923000
Hartford Financial Services Group Inc.,2019,-,3489000000,-,-,2560000000,-,-,-,2085000000,1181000000,-,-,-,16270000000,70817000000,54547000000,20740000000
"Hasbro, Inc.",2019,-,653061000,6747521000,1257082000,594210000,846768000,446105000,4046457000,520454000,255568000,652050000,262156000,1450779000,2995530000,8855628000,5860098000,4720227000
HCA Healthcare Inc,2019,-,7602000000,11196000000,7757000000,5201000000,9604000000,1849000000,33577000000,3505000000,22715000000,7007000000,-,32041000000,-2808000000,45058000000,47866000000,51336000000
Healthpeak Properties Inc,2019,-,846073000,244074000,531144000,51424000,966057000,-,6351613000,45530000,-,130378000,-,92966000,6085058000,14032891000,7947833000,1997383000
Hershey Company (The),2019,513302000,1763873000,2117102000,2008793000,1380784000,1743005000,815251000,3530813000,1149692000,2153139000,1595952000,37146000,1905929000,1739222000,8140395000,6401173000,7986252000
Hess Corp,2019,-,1642000000,3156000000,2510000000,221000000,2723000000,261000000,7380000000,-408000000,16814000000,601000000,-,397000000,8732000000,21782000000,13050000000,6510000000
Hewlett Packard Enterprise Co,2019,188000000,3997000000,15143000000,19159000000,1533000000,4574000000,2387000000,9395000000,1049000000,6054000000,1571000000,1842000000,4907000000,17098000000,51803000000,34705000000,29135000000
Hilton Worldwide Holdings Inc,2019,-,1384000000,2093000000,2871000000,1244000000,1718000000,-,7956000000,881000000,380000000,1576000000,-,441000000,-482000000,14957000000,15439000000,9452000000
Hologic Inc,2019,29500000,649500000,1793100000,1070100000,-257700000,341500000,444900000,2802800000,-203600000,470900000,-123800000,232200000,897200000,2115700000,6442100000,4326400000,3367300000
Home Depot Inc,2019,1156000000,13038000000,18529000000,16716000000,14556000000,17606000000,13925000000,26807000000,11121000000,22375000000,15530000000,-,19513000000,-1878000000,44003000000,45881000000,108203000000.00
Honeywell International Inc,2019,-,6897000000,24303000000,18098000000,7507000000,8282000000,4421000000,11110000000,6143000000,5325000000,6851000000,1556000000,5519000000,18501000000,58679000000,40178000000,36709000000
Hormel Foods Corp.,2019,131100000,922996000,2361413000,1105049000,1170514000,1322274000,1042362000,250000000,978806000,1629111000,1157064000,32500000,727584000,5921458000,8109004000,2187546000,9497317000
Horton (DR) Inc,2019,47000000,892100000,13024300000,1382400000,2124800000,2190900000,11282000000,3399400000,1618500000,462200000,2070900000,-,1832500000,10020900000,15606600000,5585700000,17592900000
Host Hotels & Resorts Inc,2019,-,1250000000,1573000000,263000000,948000000,1820000000,-,3794000000,920000000,-,799000000,-,-,7319000000,12305000000,4986000000,5469000000
Howmet Aerospace Inc,2019,-,406000000,5842000000,4126000000,575000000,1424000000,2429000000,4906000000,470000000,5463000000,1035000000,70000000,704000000,4607000000,17578000000,12971000000,14192000000
HP Inc,2019,652000000,4654000000,20177000000,25293000000,2523000000,3504000000,5734000000,4780000000,3152000000,2794000000,3877000000,1499000000,5368000000,-1193000000,33467000000,34660000000,58756000000
Humana Inc.,2019,-,5284000000,-,-,3456000000,-,-,-,2707000000,1955000000,-,-,-,12037000000,29074000000,17037000000,64888000000
"Hunt (J.B.) Transport Services, Inc.",2019,-,1098347000,1481299000,1035766000,680895000,746225000,21106000,1295700000,516320000,3620866000,733825000,-,2607168000,2267029000,5470854000,3203825000,9165258000
Huntington Bancshares Inc,2019,-,1574000000,-,-,1659000000,-,-,-,1411000000,763000000,-,-,-,11795000000,109002000000.00,97207000000,5655000000
"Huntington Ingalls Industries, Inc.",2019,-,896000000,1785000000,1890000000,683000000,980000000,136000000,1286000000,549000000,2832000000,736000000,-,788000000,1588000000,7031000000,5443000000,8899000000
IDEX Corporation,2019,15700000,528062000,1261445000,357877000,532903000,614577000,293467000,848864000,425521000,280316000,579003000,56400000,524987000,2263229000,3813912000,1550683000,2494573000
"Idexx Laboratories, Inc.",2019,1500000,459158000,679639000,725337000,522218000,631341000,195019000,698910000,427720000,533845000,552846000,133193000,679510000,177473000,1832475000,1655002000,2406908000
IHS Markit Ltd,2019,64900000,1251300000,1307800000,1969200000,742900000,1196800000,-,4874400000,502700000,658200000,1003500000,-,1197900000,8415800000,16087200000,7671400000,4414600000
"Illinois Tool Works, Inc.",2019,48000000,2995000000,6253000000,2154000000,3288000000,3906000000,1164000000,7754000000,2521000000,1729000000,3402000000,221000000,2361000000,3026000000,15068000000,12042000000,14109000000
Illumina Inc,2019,28000000,1051000000,4451000000,665000000,1118000000,1283000000,359000000,1141000000,1002000000,889000000,985000000,647000000,835000000,4613000000,7316000000,2703000000,3543000000
Incyte Corporation,2019,-,710656000,2481488000,513340000,486791000,520746000,11400000,31918000,446906000,377567000,402006000,1154111000,468711000,2598406000,3426750000,828344000,2158759000
Ingersoll Rand Inc,2019,-,343300000,1543900000,574600000,190900000,457900000,502500000,1603800000,159100000,326600000,276100000,25000000,436400000,1869900000,4628400000,2758500000,2451900000
Intel Corp,2019,832000000,33145000000,31239000000,22310000000,24058000000,34400000000,8744000000,25308000000,21048000000,55386000000,22035000000,13362000000,6150000000,77659000000,136524000000.00,58865000000,71965000000
Intercontinental Exchange Inc,2019,-,2659000000,67979000000,68816000000,2481000000,3051000000,-,5250000000,1933000000,1536000000,2673000000,-,1865000000,17255000000,94493000000,77238000000,6547000000
International Business Machines Corp,2019,1647000000,14770000000,38420000000,37701000000,10166000000,17220000000,1619000000,54102000000,9431000000,10010000000,9894000000,5989000000,19199000000,20841000000,152186000000.00,131346000000.00,77147000000
International Flavors & Fragrances Inc.,2019,-,698965000,2942544000,1552190000,557452000,1018970000,1123068000,3997438000,455873000,1386920000,667637000,346128000,876121000,6217304000,13287411000,7070107000,5140084000
International Paper Co,2019,-,3610000000,6639000000,8646000000,1604000000,3295000000,2208000000,9597000000,1225000000,13004000000,2336000000,-,3207000000,7713000000,33471000000,25758000000,22376000000
Interpublic Group of Companies Inc.,2019,-,1529200000,8770700000,9420400000,878300000,1235600000,-,2771900000,656000000,778100000,1086000000,-,93800000,2775900000,17751900000,14976000000,10221300000
Intuit Inc,2019,800000000,2324000000,3594000000,1966000000,1881000000,2079000000,-,386000000,1557000000,780000000,1854000000,1233000000,2524000000,3749000000,6283000000,2534000000,6784000000
Intuitive Surgical Inc,2019,-,1598200000,4662600000,1030200000,1502200000,1574200000,595500000,-,1379300000,1272900000,1374500000,557300000,1178400000,8263800000,9733200000,1469400000,4478500000
Invesco Ltd,2019,35700000,1116600000,22365500000,2934700000,916500000,1148600000,-,8314900000,564700000,583500000,808200000,-,2743200000,13862500000,39420300000,25557800000,6117400000
IPG Photonics Corp,2019,-,323521000,1896634000,191904000,248376000,313097000,380790000,37968000,180234000,600852000,233793000,129997000,185342000,2401726000,2730436000,328710000,1314581000
IQVIA Holdings Inc,2019,-,1417000000,4126000000,3945000000,352000000,918000000,-,11545000000,191000000,458000000,777000000,-,1734000000,6003000000,23251000000,17248000000,11088000000
Iron Mountain Inc (New),2019,-,966655000,1236339000,1949509000,328142000,1203763000,-,8275566000,267377000,4623037000,717514000,-,991664000,1463962000,13816816000,12352854000,4262584000
"Jack Henry & Associates, Inc.",2019,-,431128000,569448000,469962000,347235000,394663000,-,-,271885000,272474000,347285000,96378000,185998000,1429013000,2184829000,755816000,1552691000
"Jacobs Engineering Group, Inc.",2019,-,-366436000,4111768000,3073706000,350959000,594588000,-,1201245000,847979000,308143000,404851000,-,2072177000,5714691000,11462711000,5748020000,12737868000
Johnson & Johnson,2019,2200000000,23416000000,45274000000,35964000000,17328000000,19789000000,9020000000,26494000000,15119000000,17658000000,19814000000,12245000000,22178000000,59471000000,157728000000.00,98257000000,82059000000
Johnson Controls International plc,2019,-,1743000000,12393000000,9070000000,1056000000,2155000000,1814000000,6708000000,5674000000,3348000000,1214000000,-,6244000000,19766000000,42287000000,22521000000,23968000000
JPMorgan Chase & Co,2019,-,6046000000,-,-,44545000000,-,-,-,36431000000,25813000000,-,-,-,261330000000.00,2687379000000.00,2426049000000.00,142422000000.00
Juniper Networks Inc,2019,14600000,528900000,3209800000,1543900000,414400000,608000000,-,1683900000,345000000,830900000,442200000,955700000,1183600000,4610600000,8837700000,4227100000,4445400000
Kansas City Southern,2019,-,1103500000,728600000,491300000,787400000,1254000000,150600000,3228000000,538900000,8806300000,886300000,-,529100000,4422500000,9786800000,5364300000,2866000000
Kellogg Co,2019,676000000,1176000000,3431000000,4778000000,1305000000,2073000000,1226000000,7195000000,960000000,3612000000,1401000000,144000000,2980000000,2747000000,17564000000,14817000000,13578000000
KeyCorp,2019,-,2906000000,-,-,2022000000,-,-,-,1717000000,814000000,-,-,-,17038000000,144988000000.00,127950000000.00,7694000000
Keysight Technologies Inc,2019,22000000,998000000,3215000000,1003000000,715000000,868000000,705000000,1788000000,621000000,576000000,711000000,688000000,1155000000,3004000000,6623000000,3619000000,4303000000
Kimberly-Clark Corp.,2019,757000000,2736000000,5057000000,6919000000,2650000000,3817000000,1790000000,6213000000,2157000000,7450000000,2991000000,284000000,3254000000,-4000000,15283000000,15287000000,18450000000
Kimco Realty Corp,2019,-,583628000,342636000,296356000,312006000,767280000,-,5315767000,410605000,-,477587000,-,96942000,4864892000,10997867000,6132975000,1158884000
Kinder Morgan Inc.,2019,-,4748000000,3238000000,5100000000,3064000000,7041000000,371000000,31915000000,2190000000,36419000000,4873000000,-,590000000,33742000000,74157000000,40415000000,13209000000
KLA Corp,2019,-,1152632000,4315075000,1768486000,1296231000,1453068000,1262500000,3173383000,1175617000,448799000,1389373000,711030000,599124000,2659108000,9008516000,6349408000,4568904000
Kraft Heinz Co (The),2019,534000000,3552000000,8097000000,7875000000,2661000000,4710000000,2721000000,28216000000,1935000000,7055000000,3070000000,112000000,3178000000,51623000000,101450000000.00,49827000000,24977000000
Kroger Co (The),2019,752000000,4164000000,10803000000,14274000000,3978000000,7063000000,6846000000,12072000000,3110000000,21635000000,2614000000,-,21189000000,7886000000,38118000000,30232000000,121162000000.00
L3Harris Technologies Inc,2019,-,1185000000,2578000000,2268000000,1113000000,1533000000,360000000,2763000000,949000000,894000000,1092000000,331000000,1242000000,3363000000,10117000000,6754000000,6801000000
Laboratory Corporation of America Holdings,2019,-,1444700000,2981200000,2655800000,1095100000,1657300000,244700000,5880900000,823800000,2636600000,1330200000,-,1624500000,7567000000,18046400000,10479400000,11554800000
Lam Research Corp,2019,-,3176013000,8560409000,2371650000,2446571000,2647163000,1540140000,3822768000,2191430000,1059077000,2464732000,1191320000,702407000,4723304000,12001333000,7278029000,9653559000
Lamb Weston Holdings Inc,2019,32400000,680900000,961500000,552800000,561300000,823900000,498300000,2280200000,478600000,1597800000,668400000,15400000,335100000,-4600000,3048100000,3052700000,3756500000
Las Vegas Sands Corp,2019,123000000,3038000000,5305000000,3224000000,3772000000,5497000000,37000000,12422000000,2698000000,14844000000,3788000000,24000000,1815000000,5187000000,23199000000,18012000000,13739000000
"Lauder (Estee) Cos., Inc. (The)",2019,3440000000,2517000000,7212000000,4605000000,2307000000,2877000000,2006000000,2896000000,1785000000,2068000000,2313000000,202000000,8857000000,4386000000,13156000000,8770000000,14863000000
"Leggett & Platt, Inc.",2019,-,668000000,1538100000,928100000,430100000,694200000,636700000,2066500000,333800000,830800000,508400000,-,469700000,1312000000,4816400000,3504400000,4752500000
Leidos Holdings Inc,2019,-,992000000,2812000000,2333000000,848000000,1042000000,-,2925000000,667000000,287000000,894000000,49000000,689000000,3413000000,9367000000,5954000000,11094000000
Lennar Corp,2019,84300000,1482343000,19778612000,1069179000,2420899000,2486889000,17776507000,7776638000,1849052000,-,2461181000,-,341114000,15949517000,29359511000,13409994000,22259561000
Lilly (Eli) & Co,2019,-,4836600000,13709600000,11775200000,5265900000,6400800000,3190700000,13817900000,8318400000,7872900000,5318900000,5834600000,6213800000,2606900000,39286100000,36679200000,22319500000
Lincoln National Corp.,2019,-,-2686000000,-,-,919000000,-,-,-,886000000,-,-,-,-,19689000000,334761000000.00,315072000000.00,17258000000
Linde plc,2019,-,6119000000,10352000000,12160000000,2927000000,7640000000,1697000000,10693000000,2285000000,29064000000,2759000000,184000000,3464000000,49074000000,86612000000,37538000000,28228000000
Live Nation Entertainment Inc,2019,-,469783000,4192899000,4107599000,179647000,543221000,16106000,3271262000,69889000,1117932000,322471000,-,2314325000,1145820000,10975615000,9829795000,11547969000
LKQ Corp,2019,-,1064033000,4687819000,2178512000,791022000,1047420000,2772777000,3715389000,541260000,1234400000,896643000,-,3580300000,5008876000,12779956000,7771080000,12506109000
Lockheed Martin Corp,2019,-,7311000000,17095000000,13972000000,7241000000,9083000000,3619000000,11404000000,6230000000,6591000000,8545000000,1300000000,-,3127000000,47528000000,44401000000,59812000000
Loews Corp.,2019,-,1741000000,-,-,1119000000,-,-,-,932000000,15568000000,-,-,-,19119000000,82243000000,63124000000,14931000000
Lowe's Companies Inc,2019,963000000,6193000000,14228000000,14497000000,3394000000,5418000000,12561000000,14391000000,2314000000,18432000000,4018000000,-,17413000000,3644000000,34508000000,30864000000,71309000000
Lumen Technologies Inc,2019,62000000,6680000000,4768000000,7258000000,-4766000000,355000000,-,32394000000,-5269000000,26079000000,-2726000000,-,3715000000,13470000000,64742000000,51272000000,22401000000
LyondellBasell Industries NV,2019,-,4961000000,9510000000,5198000000,3827000000,5478000000,4588000000,11614000000,3397000000,14130000000,4116000000,111000000,1199000000,8160000000,30435000000,22275000000,34727000000
M & T Bank Corp,2019,-,2357555000,-,-,2547261000,-,-,-,1929149000,1140924000,-,-,-,15716649000,119872757000.00,104156108000.00,6941272000
Marathon Oil Corp.,2019,-,2749000000,2135000000,1745000000,392000000,3044000000,72000000,5501000000,480000000,17000000000,636000000,-,356000000,12153000000,20245000000,8092000000,5190000000
Marathon Petroleum Corp.,2019,-,9441000000,20170000000,16147000000,4329000000,9165000000,10243000000,28127000000,2637000000,45615000000,5576000000,-,3408000000,33694000000,98556000000,64862000000,124813000000.00
MarketAxess Holdings Inc.,2019,-,265935000,562618000,86848000,257424000,290076000,-,-,204902000,71795000,250882000,-,195507000,770091000,954930000,184839000,511352000
"Marriott International, Inc.",2019,851000000,1685000000,3127000000,6677000000,1586000000,2300000000,-,9963000000,1273000000,1904000000,1800000000,-,938000000,703000000,25051000000,24348000000,20972000000
Marsh & McLennan Companies Inc.,2019,-,2361000000,7068000000,6679000000,2439000000,3238000000,-,10741000000,1742000000,858000000,2677000000,-,9734000000,7793000000,31357000000,23564000000,16652000000
"Martin Marietta Materials, Inc.",2019,-,966100000,1426700000,838500000,748300000,1232000000,690800000,2433600000,611900000,5206000000,884900000,-,302700000,5350800000,10131600000,4780800000,4739100000
Masco Corp.,2019,-,833000000,2711000000,1548000000,914000000,1205000000,754000000,2771000000,935000000,878000000,1088000000,-,1274000000,-235000000,5027000000,5262000000,6707000000
Mastercard Inc,2019,-,8183000000,16902000000,11904000000,9731000000,10291000000,-,8527000000,8118000000,1828000000,9664000000,-,6697000000,5893000000,29236000000,23343000000,16883000000
Match Group Inc (New),2019,1200000000,937939000,3706989000,1007599000,494511000,829068000,-,3121572000,431131000,371353000,581333000,345417000,2518573000,2928042000,8332825000,5404783000,4757055000
McCormick & Co Inc,2019,150800000,946800000,1550200000,2154400000,819200000,1143200000,801200000,3625800000,702700000,952600000,957700000,67300000,1166800000,3444200000,10362100000,6917900000,5347400000
McDonald's Corp,2019,365800000,8122100000,3557900000,3621000000,7864300000,10378400000,50200000,34118100000,6025400000,24160000000,8788500000,-,4430000000,-8210300000,47510800000,55721100000,21076500000
McKesson Corp,2019,-,4036000000,38465000000,37626000000,567000000,1109000000,16709000000,7265000000,34000000,2548000000,886000000,71000000,8403000000,8094000000,59672000000,51578000000,214319000000.00
Medtronic PLC,2019,-,7007000000,21967000000,8472000000,5197000000,9300000000,3753000000,24486000000,4631000000,4675000000,6268000000,2330000000,10418000000,50091000000,89694000000,39603000000,30557000000
Merck & Co Inc,2019,2100000000,13440000000,27483000000,22220000000,11464000000,13783000000,5978000000,22736000000,9843000000,15053000000,11603000000,9872000000,10615000000,25907000000,84397000000,58490000000,46840000000
MetLife Inc,2019,-,13786000000,-,-,6795000000,-,-,-,5899000000,-,-,-,-,66144000000,740463000000.00,674319000000.00,69620000000
"Mettler-Toledo International, Inc.",2019,-,603450000,1109647000,754512000,681394000,757796000,274285000,1235350000,561109000,748657000,712628000,143950000,819183000,420780000,2789321000,2368541000,3008652000
MGM Resorts International,2019,257000000,1810401000,4007693000,3191423000,2789500000,4981053000,102888000,11168904000,2049146000,18285955000,1418500000,-,2565859000,7727265000,33876356000,26149091000,12899672000
Microchip Technology Inc,2019,-,1674800000,2214800000,2374500000,204500000,1554000000,711700000,8946200000,355900000,996700000,714300000,826300000,682900000,5287500000,18350000000,13062500000,5349500000
Micron Technology Inc.,2019,-,13189000000,16503000000,6390000000,7048000000,12311000000,5118000000,4541000000,6313000000,28240000000,7419000000,2441000000,836000000,35881000000,48887000000,13006000000,23406000000
Microsoft Corporation,2019,-,52185000000,175552000000.00,69420000000,43688000000,53312000000,2063000000,66662000000,39240000000,36477000000,42959000000,16876000000,23098000000,102330000000.00,286556000000.00,184226000000.00,125843000000.00
Mid-America Apartment Communities Inc,2019,20800000,781420000,70541000,-,368660000,1052075000,-,4454598000,353811000,-,430197000,-,336524000,6082696000,11230450000,5147754000,1641017000
Moderna Inc,2019,-,-458968000,1128804000,143115000,-514716000,-522246000,-,38689000,-514021000,201495000,-545720000,496309000,109620000,1174810000,1589422000,414612000,60209000
"Mohawk Industries, Inc.",2019,130207000,1418761000,4429457000,2712583000,749545000,1335550000,2282328000,1518388000,744211000,4698917000,827224000,-,1848819000,8119841000,13386680000,5266839000,9970672000
Molson Coors Beverage Co,2019,1200000000,1897300000,2184400000,3695500000,479900000,1390400000,615900000,8109500000,241700000,4546500000,764400000,-,2728000000,13419400000,28859800000,15440400000,10579400000
