Company Name,Year,Advertising % TR,Calculated Tax Rate %,Current Ratio,Earnings Before Tax Margin %,EBITDA Margin %,Gross Margin %,Interest Coverage,Inventories % TA,Inventory Turnover,LT Debt to Equity,Net Current Assets % TA,Net PPE % TA,Net PPE Turnover,Net Profit Margin %,Operating Margin %,Quick Ratio,R&D % TR,Revenue per Employee,ROA % (Net),ROE % (Net),ROI % (Operating),Selling Gen & Admin % TR,Total Asset Turnover,Total Debt to Equity
Kellogg Co,2019,4.98,24.60,0.72,9.61,15.27,32.27,4.93,6.98,7.20,2.62,-7.67,20.56,3.71,7.07,10.32,0.40,1.06,439203,5.45,36,12.68,21.95,0.77,2.88
KeyCorp,2019,-,15.53,-,26.28,-,-,-,-,-,-,-,0.56,9.07,22.32,-,-,-,451393,1.21,10.52,-,-,0.05,0.72
Keysight Technologies Inc,2019,0.51,13.15,3.21,16.62,20.17,58.89,12.47,10.64,2.67,0.60,33.40,8.70,7.61,14.43,16.52,2.25,15.99,316397,9.98,22.84,15.77,26.84,0.69,0.60
Kimberly-Clark Corp.,2019,4.10,21.74,0.73,14.36,20.69,32.71,11.96,11.71,6.89,-,-12.18,48.75,2.53,11.69,16.21,0.39,1.54,461250,14.48,-,39.95,17.64,1.24,-
Kimco Realty Corp,2019,-,-1.06,1.16,26.92,66.21,-,2.69,-,-,1.09,0.42,-,-,35.43,41.21,1.13,-,2308534,3.73,8.05,4.68,8.37,0.11,1.09
Kinder Morgan Inc.,2019,-,30.22,0.63,23.20,53.30,55.68,2.71,0.50,15.49,0.95,-2.51,49.11,0.36,16.58,36.89,0.49,-,13845912,2.86,6.50,7,4.47,0.17,1.02
KLA Corp,2019,-,9.35,2.44,28.37,31.80,59.08,16.49,14.01,1.70,1.19,28.27,4.98,12.43,25.73,30.41,1.54,15.56,455978,16.07,54.94,27.95,13.11,0.62,1.29
Kraft Heinz Co (The),2019,2.14,27.36,1.03,10.65,18.86,32.62,2.26,2.68,6.25,0.55,0.22,6.95,3.54,7.75,12.29,0.54,0.45,676909,1.89,3.76,3.76,12.72,0.24,0.57
Kroger Co (The),2019,0.62,22.62,0.76,3.28,5.83,21.68,4.22,17.96,14.19,1.53,-9.11,56.76,5.69,2.57,2.16,0.14,-,268201,8.28,42.09,11.49,17.49,3.23,1.93
L3Harris Technologies Inc,2019,-,14.38,1.14,16.37,22.54,34.32,6.54,3.56,6.95,0.82,3.06,8.84,7.60,13.95,16.06,0.43,4.87,374708,9.54,28.47,15.65,18.26,0.68,1.05
Laboratory Corporation of America Holdings,2019,-,25.57,1.12,9.48,14.34,28.15,5.53,1.36,34.45,0.78,1.80,14.61,5.23,7.13,11.51,0.71,-,177766,4.81,11.33,9.89,14.06,0.68,0.83
Lam Research Corp,2019,-,10.43,3.61,25.34,27.42,45.15,133.29,12.83,3.10,0.81,51.57,8.82,9.68,22.70,25.53,2.90,12.34,887611,17.61,38.15,26.63,7.28,0.78,0.95
Lamb Weston Holdings Inc,2019,0.86,23.80,1.74,14.94,21.93,26.71,6.24,16.35,5.25,-,13.41,52.42,2.50,12.74,17.79,0.62,0.41,495634,16.55,-,30.66,8.92,1.30,-
Las Vegas Sands Corp,2019,0.90,12.41,1.65,27.45,40.01,50.27,7.88,0.16,189.78,2.39,8.97,63.99,0.92,19.64,27.57,1.57,0.17,274780,11.80,49.64,21.43,13.21,0.60,2.41
"Lauder (Estee) Cos., Inc. (The)",2019,23.14,22.24,1.57,15.52,19.36,77.21,30.84,15.25,1.87,0.66,19.82,15.72,7.64,12.01,15.56,1.04,1.36,309646,13.88,39.34,28.86,59.59,1.16,0.78
"Leggett & Platt, Inc.",2019,-,22.37,1.66,9.05,14.61,22.11,6.10,13.22,5.83,1.58,12.67,17.25,6.10,7.02,10.70,0.88,-,216023,8.14,27.04,17.67,9.88,1.16,1.61
Leidos Holdings Inc,2019,-,23.11,1.21,7.64,9.39,13.95,6.72,-,-,0.86,5.11,3.06,41.66,6.01,8.06,1.03,0.44,321017,7.24,19.53,13.71,6.21,1.20,0.87
Lennar Corp,2019,0.38,24.46,18.50,10.88,11.17,12.59,321.54,60.55,1.12,0.49,63.73,-,-,8.31,11.06,1.85,-,2202608,6.38,12.11,10.51,1.53,0.77,0.49
Lilly (Eli) & Co,2019,-,11.93,1.16,23.59,28.68,78.85,16.61,8.12,1.29,5.30,4.92,20.04,2.66,37.27,23.83,0.68,26.14,663777,20,133.78,26.25,27.84,0.54,5.88
Lincoln National Corp.,2019,-,3.59,-,5.33,-,-,-,-,-,-,-,-,-,5.13,-,-,-,1519591,0.28,5.21,-,-,0.05,0.31
Linde plc,2019,-,26.27,0.85,10.37,27.07,41.04,72.61,1.96,9.94,0.22,-2.09,33.56,0.96,8.09,9.77,0.58,0.65,353354,2.54,4.54,4.25,12.27,0.31,0.28
Live Nation Entertainment Inc,2019,-,37.24,1.02,1.56,4.70,26.68,2.25,0.15,590.44,2.85,0.78,10.19,11.19,0.61,2.79,0.85,-,1099807,0.72,6.23,7.71,20.04,1.19,2.89
LKQ Corp,2019,-,27.22,2.15,6.33,8.38,38.80,8.48,21.70,2.73,0.74,19.63,9.66,10.19,4.33,7.17,0.76,-,245218,4.48,11.06,9.88,28.63,1.03,0.81
Lockheed Martin Corp,2019,-,13.96,1.22,12.11,15.19,13.99,13.09,7.61,15.55,3.65,6.57,13.87,9.41,10.42,14.29,0.28,2.17,543745,13.48,275.60,54.64,-,1.29,4.05
Loews Corp.,2019,-,22.16,-,7.49,-,-,-,-,-,-,-,18.93,0.96,6.24,-,-,-,802526,1.16,4.95,-,-,0.19,0.60
Lowe's Companies Inc,2019,1.35,31.82,0.98,4.76,7.60,32.12,6.44,36.40,4.04,3.95,-0.78,53.41,3.75,3.25,5.63,0.05,-,238350,6.65,48.76,18.86,24.42,2.05,4.45
Lumen Technologies Inc,2019,0.28,-,0.66,-21.28,1.58,55.02,-,-,-,2.40,-3.85,40.28,0.85,-23.52,-12.17,0.54,-,527082,-7.81,-31.65,-5.24,16.58,0.33,2.58
LyondellBasell Industries NV,2019,-,16.93,1.83,11.02,15.77,15.62,12.55,15.07,6.44,1.42,14.17,46.43,2.61,9.78,11.85,0.81,0.32,1818168,11.57,36.66,20.59,3.45,1.18,1.48
M & T Bank Corp,2019,-,24.27,-,36.70,-,-,-,-,-,-,-,0.95,7.76,27.79,-,-,-,390552,1.61,12.38,-,-,0.06,0.44
Marathon Oil Corp.,2019,-,-22.45,1.22,7.55,58.65,86.28,2.49,0.36,8.48,0.45,1.93,83.97,0.31,9.25,12.25,1.13,-,2595000,2.31,3.95,3.61,6.86,0.25,0.45
Marathon Petroleum Corp.,2019,-,24.81,1.25,3.47,7.34,11.67,4.65,10.39,10.98,0.83,4.08,46.28,2.75,2.11,4.47,0.58,-,2049138,2.75,7.66,8.91,2.73,1.30,0.86
MarketAxess Holdings Inc.,2019,-,20.40,6.48,50.34,56.73,-,32.78,-,-,-,49.82,7.52,7.59,40.07,49.06,6.48,-,970307,24.83,29.74,36.41,38.23,0.62,-
"Marriott International, Inc.",2019,4.06,20.55,0.47,7.56,10.97,15.34,4.89,-,-,14.17,-14.17,7.60,10.87,6.07,8.58,0.39,-,120529,5.22,86.95,15.51,4.47,0.86,15.56
Marsh & McLennan Companies Inc.,2019,-,27.31,1.06,14.65,19.45,-,5.52,-,-,1.38,1.24,2.74,21.36,10.46,16.08,0.96,-,219105,6.58,22.77,16.18,58.46,0.63,1.53
"Martin Marietta Materials, Inc.",2019,-,18.21,1.70,15.79,26,24.88,6.84,6.82,5.26,0.45,5.81,51.38,0.91,12.91,18.67,0.70,-,535734,6.22,11.88,10.93,6.39,0.48,0.52
Masco Corp.,2019,-,25.16,1.75,13.63,17.97,35.35,6.84,15,5.10,-,23.14,17.47,6.38,13.94,16.22,1.09,-,372611,17.95,-,40.25,19,1.29,-
Mastercard Inc,2019,-,16.58,1.42,57.64,60.95,-,43.14,-,-,1.45,17.10,6.25,12.28,48.08,57.24,1.11,-,907688,30.01,143.83,73.91,39.67,0.62,1.45
Match Group Inc (New),2019,25.23,-9.97,3.68,10.40,17.43,76.30,3.79,-,-,1.07,32.39,4.46,13.79,9.06,12.22,3.43,7.26,546788,5.67,14.94,10.41,52.94,0.63,1.07
McCormick & Co Inc,2019,2.82,19.21,0.72,15.32,21.38,40.12,5.80,7.73,4.03,1.05,-5.83,9.19,5.52,13.14,17.91,0.30,1.26,431242,6.82,21.25,12.25,21.82,0.52,1.26
McDonald's Corp,2019,1.74,25.34,0.98,37.31,49.24,63.18,7.83,0.11,153.22,-,-0.13,50.85,0.90,28.59,41.70,0.86,-,102812,15,-,34.61,21.02,0.52,-
McKesson Corp,2019,-,62.79,1.02,0.26,0.52,5.48,3.94,28,12.27,0.90,1.41,4.27,85.52,0.02,0.41,0.56,0.03,2678988,0.06,0.38,5.31,3.92,3.57,0.94
Medtronic PLC,2019,-,10.53,2.59,17.01,30.43,70.04,4.34,4.18,2.50,0.49,15.05,5.21,6.60,15.16,20.51,1.90,7.63,340455,5.13,9.21,8.28,34.09,0.34,0.51
Merck & Co Inc,2019,4.48,14.72,1.24,24.47,29.43,69.87,18.74,7.08,2.47,0.88,6.24,17.84,3.31,21.01,24.77,0.78,21.08,659718,11.79,37.42,22.30,22.66,0.56,1.02
MetLife Inc,2019,-,13.04,-,9.76,-,-,-,-,-,-,-,-,-,8.47,-,-,-,1420816,0.83,9.92,-,-,0.10,0.27
"Mettler-Toledo International, Inc.",2019,-,17.65,1.47,22.65,25.19,57.87,19.05,9.83,4.67,2.94,12.73,26.84,4.10,18.65,23.69,1.02,4.78,185719,20.75,111.02,42.71,27.23,1.11,3.07
MGM Resorts International,2019,1.99,22.67,1.26,21.62,38.61,41.06,1.67,0.30,71.15,1.45,2.41,53.98,0.66,15.89,11,1.15,-,184281,6.39,28.78,7,19.89,0.40,1.45
Microchip Technology Inc,2019,-,-74.03,0.93,3.82,29.05,54.80,1.44,3.88,4.07,1.69,-0.87,5.43,6.06,6.65,13.35,0.55,15.45,292546,2.68,8.31,6.51,12.77,0.40,1.95
Micron Technology Inc.,2019,-,9.83,2.58,30.11,52.60,45.72,-,10.47,2.92,0.13,20.69,57.77,0.90,26.97,31.70,1.74,10.43,634332,13.72,18.57,18.91,3.57,0.51,0.16
Microsoft Corporation,2019,-,10.18,2.53,34.72,42.36,65.90,-,0.72,18.16,0.65,37.04,12.73,3.82,31.18,34.14,2.35,13.41,873910,14.39,42.41,25.77,18.35,0.46,0.71
Mid-America Apartment Communities Inc,2019,1.27,1,-,22.47,64.11,77,2.39,-,-,0.73,-,-,-,21.56,26.22,-,-,653011,3.14,5.78,4.05,20.51,0.15,0.73
Moderna Inc,2019,-,-,7.89,-854.88,-867.39,-,-,-,-,0.03,62.02,12.68,0.29,-853.73,-906.38,7.82,824.31,72541,-28.95,-38,-39.30,182.07,0.03,0.03
"Mohawk Industries, Inc.",2019,1.31,0.66,1.63,7.52,13.39,26.84,20.04,17.05,3.19,0.19,12.83,35.10,2.12,7.46,8.30,0.61,-,238533,5.62,9.57,7.74,18.54,0.75,0.32
Molson Coors Beverage Co,2019,11.34,48.70,0.59,4.54,13.14,39.71,2.80,2.13,10.56,0.60,-5.24,15.75,2.31,2.28,7.23,0.36,-,597706,0.82,1.80,3.29,25.79,0.36,0.67
Mondelez International Inc,2019,4.67,0.06,0.50,13.33,18.36,39.96,7.85,3.94,6.05,0.52,-11.92,13.53,3.01,14.96,14.69,0.27,1.36,323350,6.08,14.63,8.47,23.72,0.41,0.68
Monolithic Power Systems Inc,2019,-,3.78,6.67,18.02,19.08,55.15,-,13.33,2.13,-,58.24,23.87,3.32,17.33,16.33,5.26,17.16,313647,12.44,15.40,14.51,21.27,0.72,-
Monster Beverage Corp (New),2019,9.32,21.76,3.50,33.71,34.88,59.95,183.29,7,5.27,-,32.14,5.80,15.51,26.37,33.40,2.83,-,1190371,22.90,28.47,36.06,-,0.87,-
Moody's Corp.,2019,-,21.20,1.92,37.21,45.66,71.28,9.61,-,-,9.12,17.21,2.84,15.77,29.45,41.38,1.75,-,439000,14.37,265.32,32.41,24.17,0.49,9.12
Morgan Stanley,2019,-,18.26,-,21,-,-,-,-,-,-,-,-,-,16.80,-,-,-,890652,1.03,11.18,-,-,0.06,2.36
Mosaic Co (The),2019,-,-,1.43,-14.10,-2.20,10.07,-,10.76,3.69,0.49,5.84,60.57,0.76,-11.98,-12.29,0.51,-,706849,-5.42,-10.90,-7.62,3.98,0.45,0.50
Motorola Solutions Inc,2019,-,12.99,1.21,12.69,20.48,49.84,7.19,4.20,9.85,-,6.94,9.32,8.36,11.01,20.05,0.70,8.71,463941,8.66,-,37.39,17.79,0.79,-
MSCI Inc,2019,-,6.58,2.31,38.73,52.28,81.07,5.74,-,-,-,28.09,2.16,17.16,36.18,48.51,2.22,6.31,458715,14.85,-,27.97,21.14,0.41,-
Nasdaq Inc,2019,-,26.20,1.01,21.94,26.70,59.48,8.92,-,-,0.53,0.45,2.76,11.22,18.16,23.86,0.25,-,977299,5.23,13.96,11.11,28.81,0.29,0.60
"NetApp, Inc.",2019,-,7.81,1.45,20.63,23.35,64.19,-,1.50,17.13,1.05,19.94,8.68,8.14,19.02,18.68,1.32,13.46,586941,12.60,74.26,36.88,31.48,0.66,1.42
Netflix Inc,2019,9.32,9.47,0.90,10.23,59.16,38.28,4.80,-,-,1.95,-1.99,1.66,40.99,9.26,12.92,0.87,7.67,2343773,6.23,29.12,13.73,17.70,0.67,1.95
Newell Brands Inc,2019,-,-,1.38,-8.77,-3.03,33.14,-,10.27,4.07,1.09,7.24,7.38,9.34,1.10,-4.96,0.73,1.53,323830,0.64,2.09,-4.20,25.23,0.58,1.15
Newmont Corp,2019,-,22.53,2.63,37.92,60.54,46.66,5.23,4.57,3.30,0.31,9.72,63.23,0.52,28.80,13.11,1.20,1.54,308228,9.24,17.57,5.94,3.21,0.32,0.32
News Corp (New),2019,6.64,33.96,1.21,3.68,9.56,44.19,7.14,2.22,15.53,0.11,4.52,16.26,3.94,1.54,4.18,0.95,-,359786,0.97,1.68,3.85,31.84,0.63,0.16
NextEra Energy Inc,2019,-,11.88,0.53,19.63,54.03,58.33,2.32,1.13,6.27,1.01,-5.48,69.68,0.25,19.63,25.76,0.25,-,1297568,3.40,10.59,6.53,8.84,0.17,1.15
Nielsen Holdings PLC,2019,0.28,-,0.79,-10.20,-1.75,56.57,-,-,-,3.37,-3.66,3.25,13.91,-6.39,-1.43,0.62,-,141261,-2.81,-16.46,-0.86,29.69,0.44,3.79
NIKE Inc,2019,9.59,16.08,2.10,12.27,14.20,44.67,98.98,23.70,3.98,0.38,36.51,20,8.51,10.30,12.40,1.14,-,510000,17.42,42.74,37.11,32.47,1.69,0.38
NiSource Inc. (Holding Co.),2019,-,24.38,0.49,9.73,24.81,70.54,2.40,1.87,3.62,1.31,-8.35,74.64,0.32,7.35,17.10,0.28,-,622851,1.72,6.53,5.84,26.01,0.23,1.61
Norfolk Southern Corp,2019,-,22.03,0.90,30.90,46.33,69.74,6.60,0.64,15.16,0.78,-0.58,83.36,0.36,24.10,35.31,0.65,-,459430,7.34,17.82,14.81,24.35,0.30,0.80
Northern Trust Corp,2019,-,23.24,-,28.20,-,-,-,-,-,-,-,0.35,15.13,21.64,-,-,-,348237,1.11,13.82,-,-,0.05,0.36
Northrop Grumman Corp,2019,-,11.77,1.13,7.53,12.10,21.45,7.52,1.91,37,1.45,3.04,16.82,5.10,6.64,11.73,0.94,2.82,376011,5.71,26.44,18.18,9.72,0.86,1.45
NortonLifeLock Inc,2019,7,85.19,0.85,2.28,13.80,77.81,2.29,-,-,0.69,-3.64,4.96,6.05,0.66,8.03,0.75,19.30,398655,0.20,0.58,3.77,41.01,0.30,0.78
Norwegian Cruise Line Holdings Ltd,2019,6.20,-2.07,0.20,14.10,28.04,43.31,4.32,0.57,39.47,0.93,-17.11,78.73,0.51,14.39,18.23,0.09,-,179510,5.83,14.91,9.14,15.09,0.41,1.04
NRG Energy Inc,2019,0.67,-425.26,1.31,7.98,17.37,25.64,3.11,3.06,18.37,3.50,5.82,20.69,3.48,45.19,13.06,0.59,0.07,2145729,38.33,2093.40,19.99,8.42,0.85,3.55
Nucor Corp.,2019,-,23.15,3.34,7.88,11.29,11.86,15.66,20.94,4.74,0.41,31.41,33.68,3.92,5.63,8.42,1.62,-,842868,7.01,12.62,13.19,3.15,1.25,0.42
NVIDIA Corp,2019,0.18,-6.29,7.94,33.25,34.58,61.21,-,11.85,3.83,0.21,69.43,10.56,9.79,35.34,32.47,6.66,20.28,884853,33.85,49.39,36.68,8.46,0.96,0.21
NVR Inc.,2019,-,14.36,5.71,13.81,14.43,21.25,41.42,35.36,4.50,0.26,54.31,1.52,139.07,11.83,14.15,2.56,-,1303235,25.19,42.34,39.33,7.10,2.13,0.26
NXP Semiconductors NV,2019,-,6.87,1.82,3.28,28.80,52.02,2.05,5.96,3.45,0.78,7.37,12.23,3.64,2.74,7.22,0.95,18.51,301939,1.17,2.44,3.70,10.41,0.43,0.78
"O'Reilly Automotive, Inc.",2019,0.78,22.30,0.86,17.64,21.63,53.15,13.98,32.23,1.43,9.79,-5.93,36.84,2.69,13.70,18.92,0.06,-,123529,14.88,370.45,47.67,34.23,1.09,9.79
Occidental Petroleum Corp,2019,-,-,1.25,-0.88,32.31,63.66,0.61,1.32,5.70,1.13,3.41,73.60,0.38,-3.14,3.04,0.63,-,1474444,-0.87,-2.40,1.24,7.08,0.28,1.13
"Old Dominion Freight Line, Inc.",2019,0.69,25.30,2.37,20.05,26.07,97.82,-,-,-,0.01,12.53,74.30,1.44,14.98,19.92,2.20,-,204383,16.32,21.37,27.98,71.03,1.09,0.01
"Omnicom Group, Inc.",2019,-,26.02,0.91,12.96,14.75,18.45,11.53,4.70,10.08,1.59,-5.21,2.48,22.03,8.95,14.19,0.76,-,213624,5.21,49.59,27.50,2.71,0.58,1.80
ONEOK Inc,2019,-,24.89,0.73,14.72,24.25,24.72,3.90,2.32,16.20,2,-2.52,84.12,0.61,12.58,18.86,0.42,-,3526845,6.39,19.97,10.99,0,0.51,2.04
Oracle Corp,2019,0.43,9.54,2.49,31.44,41.33,79.76,13.67,-,-,2.37,25.53,5.75,6.50,28.05,34.26,2.31,15.25,290485,9.01,32.83,14.69,24.86,0.32,2.58
Organon & Co,2019,3.13,9.48,2.95,37.30,40.88,62,-,10.15,-,0.01,24.78,6.45,-,33.77,37.29,1.33,3.48,-,-,-,-,20.17,-,0.01
Otis Worldwide Corp,2019,-,31.92,1.05,14.19,14.73,29.17,-,5.89,15.38,-,2.93,7.44,18.75,8.51,13.83,0.80,1.24,190116,11.86,68.28,108.95,13.80,1.39,0.02
PACCAR Inc.,2019,-,22.95,1.77,12.11,15.96,19.70,17,4.07,17.58,1.16,12.57,10.17,9.54,9.33,12.52,1.44,1.28,948137,8.87,26.10,16.24,2.73,0.95,1.16
Packaging Corp of America,2019,-,24.06,3.42,13.17,20,23.61,8.18,10.97,6.69,0.81,24.25,43.56,2.22,10,15.13,2.23,0.23,449310,10.09,24.25,19.62,8.01,1.01,0.81
Parker Hannifin Corp,2019,-,21.75,2.43,13.50,16.40,25.26,10.90,9.55,6.49,1.09,25.72,10.06,7.90,10.56,14.48,1.84,2.06,257513,9.19,25.59,17.36,10.78,0.87,1.19
Paychex Inc,2019,-,24.39,1.17,36.26,39.71,-,318.91,-,-,0.30,9.60,4.71,9.41,27.42,36.35,0.32,-,241827,12.82,44.55,50.41,32.43,0.47,0.30
Paycom Software Inc,2019,3.51,20.13,1.07,30.65,33.73,85.12,240.66,0.05,91.39,0.06,4.73,9.59,3.55,24.48,30.67,0.08,9.91,195929,9.01,41.93,48.73,41.59,0.37,0.06
PayPal Holdings Inc,2019,2.25,17.98,1.43,16.87,20.35,54.03,-,-,-,0.29,22.55,3.30,10.40,13.84,15.30,1.40,6.19,766034,5.20,15.24,14.60,26.60,0.38,0.29
Penn National Gaming Inc,2019,-,74.52,0.71,1.09,18.36,44.27,1.07,-,-,3.59,-1.85,36.07,0.88,0.83,10.79,0.57,-,187329,0.35,3.40,6.05,22.40,0.42,3.65
Pentair PLC,2019,-,11.24,1.42,13.78,16.43,35.56,14.37,9.12,4.98,0.53,7.56,6.84,10.64,12.03,14.63,0.83,2.67,311284,8.95,18.77,15.43,18.26,0.74,0.53
People's United Financial Inc,2019,-,20.23,-,28.75,-,-,-,-,-,-,-,0.52,7.92,22.93,-,-,-,349208,0.98,7.19,-,-,0.04,0.12
PepsiCo Inc,2019,4.47,21.04,0.86,13.87,18.62,55.13,11.01,4.25,9.32,1.97,-3.59,24.58,3.65,10.89,15.32,0.66,1.06,252230,9.39,50.06,22.03,39.81,0.86,2.17
"PerkinElmer, Inc.",2019,-,3.96,1.80,8.22,12.10,48.41,5.83,5.46,4.28,0.73,9.35,4.87,9.08,7.89,12.55,1.19,6.57,222430,3.65,8.45,7.75,28.27,0.46,0.74
Pfizer Inc,2019,4.06,7.83,0.88,34.17,45.68,80.25,7.67,4.95,1.29,0.57,-2.69,8.34,3.78,31.45,19.97,0.50,16.71,586070,9.96,25.72,9.38,27.73,0.32,0.83
Philip Morris International Inc,2019,2.45,23.23,1.09,33.12,38.27,64.73,18.48,21.54,1.17,-,3.92,15.47,4.31,24.11,35.33,0.56,1.56,405510,17.38,-,54.33,29.17,0.72,-
Phillips 66,2019,0.06,19.17,1.24,3.81,5.46,8.17,10.12,6.43,27.49,0.45,4.68,40.51,4.78,2.81,4.23,0.77,0.05,7555793,5.44,12.41,12.79,1.53,1.94,0.47
Pinnacle West Capital Corp,2019,-,-2.91,0.50,15.62,42.12,42.85,3.26,1.87,6.20,0.89,-5.67,78.59,0.24,15.51,19.36,0.13,-,558971,2.98,10.11,6.22,0,0.19,1.06
Pioneer Natural Resources Co,2019,-,23.40,0.88,10.61,31.37,20.94,9.16,1.08,25.26,0.15,-1.60,84.32,0.60,8.13,11.91,0.74,-,4005166,4.09,6.24,7.69,3.48,0.50,0.19
PNC Financial Services Group (The),2019,-,16.39,-,29.97,-,-,-,-,-,-,-,-,-,24.83,-,-,-,416503,1.35,11.07,-,-,0.05,0.89
Pool Corp,2019,0.25,17.69,2.49,9.92,11.54,28.91,14.35,47.35,3.31,1.22,39.29,7.57,29.19,8.18,10.67,0.63,-,711004,19.20,82.55,37.67,18.24,2.35,1.25
PPG Industries Inc,2019,1.87,23.76,1.41,10.89,14.03,42.87,16.72,9.66,4.95,0.86,10.14,16.85,5.23,8.21,11.04,0.92,2.85,546787,7.37,25.08,16.74,23.80,0.90,0.96
PPL Corp,2019,-,18.98,0.56,27.74,55.76,40.58,2.90,0.73,10.76,1.60,-4.67,79.86,0.22,22.47,36.56,0.43,-,632655,3.92,14.17,8.15,0,0.17,1.77
Principal Financial Group Inc,2019,-,14.72,-,10.44,-,-,-,-,-,-,-,0.35,18.70,8.59,-,-,-,921658,0.54,10.72,-,-,0.06,0.26
Procter & Gamble Company (The),2019,9.97,34.65,0.75,8.97,13.57,48.63,18.99,4.36,7.13,0.43,-6.55,18.48,3.23,5.76,8.11,0.51,2.75,697773,3.34,7.83,6.82,28.20,0.58,0.64
Progressive Corp. (OH),2019,-,22.87,-,13.22,-,-,-,-,-,-,-,2.21,33.28,10.17,-,-,-,938690,7.83,32.42,-,-,0.77,0.32
Prologis Inc,2019,-,4.73,1.24,47.32,85.58,43.73,4.60,-,-,0.53,0.62,0.27,30.32,47.23,29.78,1.11,-,1945456,4.01,7,2.92,13.55,0.08,0.53
Prudential Financial Inc,2019,-,18.62,-,7.85,-,-,-,-,-,-,-,-,-,6.46,-,-,-,1258120,0.49,7.49,-,-,0.08,0.33
PTC Inc,2019,0.29,235.27,1.23,1.62,9.07,74.09,1.46,-,-,0.56,5.42,3.96,13.49,-2.19,5.02,1.05,19.66,207371,-1.10,-2.64,3.72,43.43,0.50,0.56
Public Service Enterprise Group Inc,2019,-,13.27,0.64,19.21,36.52,35.66,4.73,1.88,7.21,0.91,-3.80,75.10,0.29,16.80,23.27,0.34,-,775554,3.64,11.49,7.67,-,0.22,1.08
Public Storage,2019,-,-,-,51.15,52.34,72.01,85.16,-,-,0.21,-,-,-,53.41,51.47,-,-,482512,13.64,16.73,13.63,2.53,0.26,0.21
PulteGroup Inc,2019,0.53,24.12,10.16,13.11,13.48,23.47,-,71.68,1.05,0.57,77.46,1.04,99.81,9.96,12.98,1.61,-,1947180,9.73,19.79,15.84,10.36,0.98,0.57
PVH Corp,2019,5.45,4.11,1.71,7.81,11.75,54.97,7.50,14.60,2.62,0.48,11.33,8.30,10.28,7.73,9.01,0.66,-,254824,6.30,13.17,10.10,45.96,0.82,0.49
Qorvo Inc,2019,-,-45.03,3.87,2.97,25.50,38.67,6.56,8.81,3.85,0.21,21.51,23.53,2.26,4.31,7,2.53,14.58,382570,2.19,2.92,3.93,15.41,0.51,0.21
Qualcomm Inc,2019,-,40.86,1.88,31.20,35.26,64.57,24.65,4.25,5.56,2.74,23.76,9.35,8.04,18.07,31.59,1.65,22.24,657829,13.40,150.70,40.31,9.04,0.74,3.25
"Quanta Services, Inc.",2019,-,28.91,1.69,4.72,7.58,13.21,8.41,0.67,128.62,0.32,18.82,16.64,9.10,3.32,4.58,1.28,-,300550,5.22,10.50,11.01,7.89,1.57,0.34
"Quest Diagnostics, Inc.",2019,-,22.96,1.25,13.93,17.43,34.80,7.03,0.96,45.38,0.70,3.89,11.31,5.64,11.11,15.93,1.13,-,164383,7.20,15.81,12.61,18.86,0.65,0.85
Ralph Lauren Corp,2019,4.32,26.03,3,9.23,13.36,61.56,-,13.76,3.07,0.27,40.30,17.49,5.69,6.83,8.90,2.14,-,260508,7.15,12.81,13.22,50.19,1.05,0.28
"Raymond James Financial, Inc.",2019,-,24.80,0.37,17.14,18.35,96.47,179.64,-,-,0.37,-48.02,1.36,15.84,12.89,17.14,0.37,-,424273,2.71,15.97,15.41,73,0.21,0.37
Raytheon Technologies Corp,2019,-,27.84,1.08,10.70,14.74,25.93,5.57,7.84,5.43,0.90,2.08,9.13,6.15,7.19,11.64,0.60,3.91,316801,4.04,13.80,10.59,11.06,0.56,1.04
Realty Income Corp,2019,-,-,0.46,29.33,70.56,74.55,52.94,-,-,0.81,-1.51,-,-,29.26,27.17,0.44,-,7688613,2.58,4.89,2.51,4.87,0.09,0.81
Regency Centers Corp,2019,-,-,0.54,16.09,59.58,85.01,2.45,-,-,0.63,-0.88,-,-,21.13,32.64,0.47,-,2518084,2.17,3.80,3.65,6.62,0.10,0.63
"Regeneron Pharmaceuticals, Inc.",2019,-,12.90,3.67,30.89,33.88,90.05,73.17,9.56,0.61,0.06,37.77,19.52,2.88,26.91,28.10,2.53,38.62,970790,15.94,21.32,20.78,23.33,0.59,0.06
Regions Financial Corp (New),2019,-,20.30,-,29.39,-,-,-,-,-,-,-,1.55,3.37,23.42,-,-,-,345277,1.26,10.08,-,-,0.05,0.33
Republic Services Inc,2019,-,15.38,0.52,13.61,26.92,38.85,4.63,0.25,114.62,0.96,-6.43,36.96,1.26,10.42,17.35,0.42,-,286094,4.85,13.38,10.81,10.60,0.46,1.07
ResMed Inc.,2019,-,21.37,2.06,20.51,24.69,58.95,17.11,8.51,3.46,0.61,14.35,9.43,6.74,15.52,22.22,1.20,6.93,3522395,11.28,19.59,20.38,24.75,0.73,0.61
Robert Half International Inc.,2019,0.89,27.35,1.73,10.30,11.29,41.66,-,-,-,0,29.77,5.55,47.91,7.48,10.21,1.16,-,379652,21.57,41.18,56.20,31.42,2.88,0
"Robinson (C.H.) Worldwide, Inc.",2019,-,22.27,1.70,4.85,5.45,16.89,16.55,-,-,0.65,23.36,4.49,70.11,3.77,5.16,1.55,-,992384,12.72,35.33,27.02,11.73,3.38,0.74
